,Brand,Model,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
0,Chevrolet,aveo,2009, Manual,1150,2, Petrol,6,200,975000
1,Chevrolet,captiva,2015, Automatic,2000,4, Diesel,8,100,3000000
2,Chevrolet,aveo,2009, Manual,1150,2, Petrol,6,42000,975000
3,Chevrolet,captiva,2010, Automatic,2000,4, Diesel,8,51000,3000000
4,Chevrolet,spark,2012, Manual,1000,2, Petrol,9,38000,1000000
5,Chevrolet,beat,2010, Manual,1200,2, Petrol,8,15000,1425000
6,Chevrolet,captiva,2011, Manual,2500,2, Diesel,3,35000,2700000
7,Chevrolet,aveo,2008, Manual,1200,2, Petrol,8,36800,1250000
8,Chevrolet,aveo,2012, Manual,1300,2, Petrol,9,26000,1475000
9,Chevrolet,aveo,2012, Manual,1200,2, Petrol,9,70000,1300000
10,Chevrolet,beat,2010, Manual,1200,2, Petrol,8,45000,1150000
11,Chevrolet,aveo,2009, Manual,1200,2, Petrol,7,45000,925000
12,Chevrolet,aveo,2012, Manual,1400,2, Petrol,10,17000,1650000
13,Chevrolet,spark,2012, Manual,1000,2, Petrol,15,40000,1100000
14,Chevrolet,spark,2009, Manual,1000,2, Petrol,10,27000,975000
15,Chevrolet,spark,2009, Manual,1000,2, Petrol,7,40000,975000
16,Chevrolet,spark,2012, Automatic,1000,2, Petrol,1,34000,1200000
17,Chevrolet,spark,2010, Manual,1000,2, Petrol,8,36000,1075000
18,Chevrolet,beat,2010, Manual,1200,2, Petrol,8,35000,1275000
19,Chevrolet,spark,2010, Automatic,1000,2, Petrol,10,53000,110000
20,Chevrolet,aveo,2009, Manual,1400,2, Petrol,7,30000,1450000
21,Chevrolet,u-va,2008, Manual,1150,2, Petrol,6,41000,1050000
22,Chevrolet,captiva,2010, Automatic,2000,4, Diesel,7,62000,3500000
23,Chevrolet,captiva,2009, Automatic,2000,4, Diesel,7,46471,5000000
24,Chevrolet,uva,2009, Manual,1150,2, Petrol,7,50500,1200000
25,Chevrolet,aveo,2010, Manual,1200,2, Petrol,8,34500,1450000
26,Chevrolet,aveo,2009, Manual,1400,2, Petrol,7,30000,1400000
27,Chevrolet,aveo,2010, Manual,1400,2, Petrol,8,48000,1450000
28,Chevrolet,uva,2009, Manual,1200,2, Petrol,7,38000,1100000
29,Chevrolet,spark,2009, Manual,1000,2, Petrol,9,53000,1100000
30,Chevrolet,captiva,2009, Automatic,2000,4, Diesel,7,51000,3750000
31,Chevrolet,captiva,2009, Automatic,2000,4, Diesel,7,52000,4000000
32,Chevrolet,sedan,2009, Manual,1600,2, Petrol,7,46000,1450000
33,Chevrolet,aveo,2010, Manual,800,2, Petrol,8,30000,1200000
34,Chevrolet,aveo,2011, Manual,1500,2, Petrol,8,35000,1600000
35,Chevrolet,uva,2007, Manual,1400,2, Petrol,12,40000,1050000
36,Chevrolet,beat,2011, Manual,1200,2, Petrol,9,25000,1650000
37,Chevrolet,aveo,2009, Manual,1150,2, Petrol,9,35000,1400000
38,Chevrolet,aveo,2010, Manual,1400,2, Petrol,8,52000,1700000
39,Chevrolet,aveo,2009, Manual,1200,2, Petrol,7,60000,1350000
40,Chevrolet,aveo,2009, Manual,1400,2, Petrol,7,40000,1550000
41,Chevrolet,spark,2009, Manual,1000,2, Petrol,7,34000,1050000
42,Chevrolet,sedan,2010, Manual,1400,2, Petrol,10,50000,1695000
43,Chevrolet,aveo,2013, Manual,1600,4, Petrol,12,3800,2000000
44,Chevrolet,spark,2010, Manual,800,2, Petrol,10,30000,1200000
45,Chevrolet,aveo,2008, Manual,1150,2, Petrol,8,61500,1300000
46,Chevrolet,spark,2009, Manual,1000,2, Petrol,9,25000,1200000
47,Chevrolet,captiva,2009, Automatic,2000,4, Diesel,7,48000,4200000
48,Chevrolet,spark,2011, Manual,1000,2, Petrol,9,30000,1150000
49,Chevrolet,aveo,2006, Manual,1600,2, Petrol,6,40000,1350000
50,Chevrolet,aveo,2007, Manual,1200,2, Petrol,5,45000,1575000
51,Chevrolet,aveo,2006, Manual,1600,2, Petrol,5,43000,1425000
52,Chevrolet,aveo,2012, Manual,1400,2, Petrol,9,13000,2300000
53,Chevrolet,captiva,2010, Automatic,2000,4, Diesel,9,29000,5200000
54,Chevrolet,beat,2011, Manual,1200,2, Petrol,8,26000,1600000
55,Chevrolet,beat,2010, Manual,1200,2, Petrol,10,32000,1600000
56,Chevrolet,spark,2009, Manual,1000,2, Petrol,7,26000,1200000
57,Chevrolet,spark,2009, Manual,1000,2, Petrol,7,34000,1125000
58,Chevrolet,aveo,2010, Manual,1400,2, Petrol,10,28000,1725000
59,Chevrolet,aveo,2012, Manual,1600,2, Petrol,12,19000,2200000
60,Chevrolet,aveo,2009, Manual,1150,2, Petrol,9,35000,1500000
61,Chevrolet,captiva,2010, Manual,2000,2, Diesel,10,30000,4000000
62,Chevrolet,aveo,2008, Manual,1150,2, Petrol,6,50000,1325000
63,Chevrolet,captiva,2010, Manual,2000,2, Diesel,7,35378,6200000
64,Chevrolet,captiva,2011, Manual,2500,2, Diesel,11,50000,3000000
65,Chevrolet,aveo,2011, Automatic,1400,2, Petrol,8,9500,1800000
66,Chevrolet,beat,2010, Manual,1200,2, Petrol,8,42083,1800000
67,Chevrolet,aveo,2007, Manual,1150,2, Petrol,5,42000,1200000
68,Fiat,avventura,2015, Manual,1400,2, Petrol,13,22000,2300000
69,Fiat,avventura,2015, Manual,1400,2, Petrol,13,10000,2700000
70,Fiat,punto,2012, Manual,1200,2, Petrol,10,18300,1499999
71,Fiat,linea,2012, Automatic,1400,2, Petrol,9,26000,2350000
72,Fiat,figo,2015, Manual,1400,2, Petrol,14,20000,1800000
73,Fiat,palio,2003, Manual,1200,2, Petrol,5,60000,550000
74,Fiat,punto,2011, Manual,1200,2, Petrol,9,28500,1375000
75,Fiat,punto,2003, Manual,1200,2, Petrol,4,79000,675000
76,Fiat,figo,1999, Manual,1400,2, Diesel,3,83518,450000
77,Ford,figo,2013, Manual,1200,2, Petrol,21,47000,1425000
78,Ford,figo,2010, Manual,1200,2, Petrol,10,30000,1200000
79,Ford,figo,2011, Manual,1200,2, Petrol,22,41000,1250000
80,Ford,figo,2012, Manual,1200,2, Petrol,10,60000,1250000
81,Ford,ecosport,2018, Manual,1500,2, Petrol,21,16000,3300000
82,Ford,ecosport,2014, Automatic,1500,2, Petrol,12,37000,2600000
83,Ford,figo,2017, Manual,1500,4, Diesel,11,90000,1050000
84,Ford,figo,2016, Manual,1200,2, Petrol,4,72000,17000
85,Ford,figo,2013, Manual,1200,2, Petrol,10,47000,1450000
86,Ford,figo,2016, Manual,1200,2, Petrol,16,31000,1850000
87,Ford,titanium,2019, Manual,1200,2, Petrol,21,7000,3100000
88,Ford,ecosport,2013, Manual,1000,2, Petrol,11,40000,2400000
89,Ford,titanium,2013, Manual,1400,2, Diesel,10,90000,1950000
90,Ford,figo,2014, Manual,1200,2, Petrol,12,33000,1400000
91,Ford,titanium,2015, Manual,1500,2, Diesel,13,40000,2900000
92,Ford,fiesta,2015, Manual,1600,2, Petrol,13,35000,1450000
93,Ford,ecosport,2013, Manual,1500,2, Diesel,10,43000,2500000
94,Ford,figo,2014, Manual,1200,2, Petrol,11,16401,1700000
95,Ford,figo,2014, Manual,1200,2, Petrol,12,12800,1700000
96,Ford,ecosport,2014, Automatic,1500,2, Petrol,14,52000,3100000
97,Ford,fiesta,2012, Automatic,1500,2, Petrol,9,41500,2700000
98,Ford,figo,2012, Manual,1200,2, Petrol,9,23500,1500000
99,Ford,ecosport,2016, Manual,1500,2, Petrol,16,30000,260000
100,Ford,ecosport,2018, Manual,1500,2, Petrol,20,5000,3400000
101,Ford,fiesta,2014, Manual,1500,2, Diesel,12,55000,2250000
